zip,geo_status,production_dev_pairs,shadow_dev_pairs,intersection,production_only_refuted,shadow_only_added,points_resolved,missing_descriptive_fields,satisfies_maps_shape
01985,boundary_complete,11,3,3,8,0,3,0,YES
06226,boundary_complete,94,76,76,18,0,76,0,YES
06231,boundary_complete,47,33,33,14,0,33,0,YES
06232,boundary_complete,53,52,51,2,1,52,0,YES
06234,boundary_complete,40,37,36,4,1,37,0,YES
06235,boundary_complete,44,34,34,10,0,34,0,YES
06237,boundary_complete,67,56,55,12,1,56,0,YES
06238,boundary_complete,64,61,49,15,12,61,0,YES
06239,boundary_complete,52,48,46,6,2,48,0,YES
06241,boundary_complete,55,51,50,5,1,51,0,YES
06242,boundary_complete,36,54,35,1,19,54,0,YES
06243,boundary_complete,34,30,30,4,0,30,0,YES
06247,boundary_complete,32,33,30,2,3,33,0,YES
06248,boundary_complete,51,47,47,4,0,47,0,YES
06249,boundary_complete,31,37,29,2,8,37,0,YES
06250,boundary_complete,90,71,68,22,3,71,0,YES
06254,boundary_complete,49,43,40,9,3,43,0,YES
06255,boundary_complete,48,42,41,7,1,42,0,YES
06256,boundary_complete,72,43,43,29,0,43,0,YES
06258,boundary_complete,60,27,27,33,0,27,0,YES
06259,boundary_complete,49,52,49,0,3,52,0,YES
06260,boundary_complete,62,56,55,7,1,56,0,YES
06262,boundary_complete,35,30,30,5,0,30,0,YES
06263,boundary_complete,66,27,27,39,0,27,0,YES
06264,boundary_complete,36,31,31,5,0,31,0,YES
06266,boundary_complete,51,32,32,19,0,32,0,YES
06268,boundary_complete,74,68,67,7,1,68,0,YES
06269,boundary_complete,76,38,38,38,0,38,0,YES
06277,boundary_complete,43,42,42,1,0,42,0,YES
06278,boundary_complete,38,58,37,1,21,58,0,YES
06279,boundary_complete,79,73,73,6,0,73,0,YES
06280,boundary_complete,65,40,38,27,2,40,0,YES
06281,boundary_complete,36,54,35,1,19,54,0,YES
06282,boundary_complete,60,47,47,13,0,47,0,YES
06320,boundary_complete,96,65,65,31,0,65,0,YES
06330,boundary_complete,56,36,35,21,1,36,0,YES
06331,boundary_complete,41,39,39,2,0,39,0,YES
06332,boundary_complete,64,39,39,25,0,39,0,YES
06333,boundary_complete,58,54,49,9,5,54,0,YES
06334,boundary_complete,62,37,37,25,0,37,0,YES
06335,boundary_complete,54,33,33,21,0,33,0,YES
06336,boundary_complete,41,31,31,10,0,31,0,YES
06338,boundary_complete,46,31,31,15,0,31,0,YES
06339,boundary_complete,38,39,37,1,2,39,0,YES
06340,boundary_complete,96,78,75,21,3,78,0,YES
06350,boundary_complete,42,27,27,15,0,27,0,YES
06351,boundary_complete,55,66,55,0,11,66,0,YES
06353,boundary_complete,68,29,29,39,0,29,0,YES
06354,boundary_complete,64,50,49,15,1,50,0,YES
06355,boundary_complete,70,60,60,10,0,60,0,YES
06357,boundary_complete,70,51,51,19,0,51,0,YES
06359,boundary_complete,56,55,52,4,3,55,0,YES
06360,boundary_complete,92,86,82,10,4,86,0,YES
06365,boundary_complete,56,54,48,8,6,54,0,YES
06370,boundary_complete,44,39,39,5,0,39,0,YES
06371,boundary_complete,58,53,50,8,3,53,0,YES
06373,boundary_complete,35,28,28,7,0,28,0,YES
06374,boundary_complete,61,52,50,11,2,52,0,YES
06375,boundary_complete,84,39,39,45,0,39,0,YES
06376,boundary_complete,49,27,27,22,0,27,0,YES
06377,boundary_complete,46,31,31,15,0,31,0,YES
06378,boundary_complete,64,45,44,20,1,45,0,YES
06379,boundary_complete,56,47,47,9,0,47,0,YES
06380,boundary_complete,76,34,34,42,0,34,0,YES
06382,boundary_complete,64,53,53,11,0,53,0,YES
06384,boundary_complete,43,36,36,7,0,36,0,YES
06385,boundary_complete,89,61,56,33,5,61,0,YES
06387,boundary_complete,58,30,30,28,0,30,0,YES
06389,boundary_complete,77,41,41,36,0,41,0,YES
06390,boundary_complete,0,7,0,0,7,7,0,YES
52003,boundary_complete,0,1,0,0,1,1,0,YES
52068,boundary_complete,5,2,2,3,0,2,0,YES
