zip,zip3,acquisition_status,adjudicated,pending,terminal,boundary_placement,placed_by_polygon,legacy_membership,confirmed_legacy,over_inclusion_removed,under_inclusion_added
01520,015,ACQUISITION_UNBLOCKED,17,0,0,COMPLETE,10,17,10,7,0
01521,015,ACQUISITION_UNBLOCKED,6,0,0,COMPLETE,12,6,3,3,9
01522,015,ACQUISITION_UNBLOCKED,10,0,0,COMPLETE,2,10,2,8,0
01523,015,ACQUISITION_UNBLOCKED,12,0,0,COMPLETE,13,12,5,7,8
01524,015,ACQUISITION_UNBLOCKED,4,0,0,COMPLETE,2,4,2,2,0
01525,015,ACQUISITION_UNBLOCKED,12,0,0,COMPLETE,0,12,0,12,0
01526,015,ACQUISITION_UNBLOCKED,8,0,0,COMPLETE,0,8,0,8,0
01527,015,ACQUISITION_UNBLOCKED,43,0,0,COMPLETE,21,43,21,22,0
01529,015,ACQUISITION_UNBLOCKED,14,0,0,COMPLETE,5,14,5,9,0
01531,015,ACQUISITION_UNBLOCKED,3,0,0,COMPLETE,4,3,3,0,1
01532,015,ACQUISITION_UNBLOCKED,21,0,0,COMPLETE,13,21,13,8,0
01534,015,ACQUISITION_UNBLOCKED,13,0,0,COMPLETE,3,13,3,10,0
01535,015,ACQUISITION_UNBLOCKED,6,0,0,COMPLETE,0,6,0,6,0
01536,015,ACQUISITION_UNBLOCKED,24,0,0,COMPLETE,10,25,10,15,0
01537,015,ACQUISITION_UNBLOCKED,32,0,0,COMPLETE,15,32,15,17,0
01538,015,ACQUISITION_UNBLOCKED,14,0,0,COMPLETE,0,14,0,14,0
01540,015,ACQUISITION_UNBLOCKED,8,0,0,COMPLETE,7,8,7,1,0
01541,015,ACQUISITION_UNBLOCKED,3,0,0,COMPLETE,4,3,3,0,1
01542,015,ACQUISITION_UNBLOCKED,23,0,0,COMPLETE,1,23,1,22,0
01543,015,ACQUISITION_UNBLOCKED,6,0,0,COMPLETE,5,6,4,2,1
01545,015,ACQUISITION_UNBLOCKED,27,0,0,COMPLETE,16,27,16,11,0
01546,015,ACQUISITION_UNBLOCKED,7,0,0,COMPLETE,0,7,0,7,0
01550,015,ACQUISITION_UNBLOCKED,15,0,0,COMPLETE,37,15,8,7,29
01560,015,ACQUISITION_UNBLOCKED,16,0,0,COMPLETE,1,16,1,15,0
01561,015,ACQUISITION_UNBLOCKED,11,0,0,COMPLETE,0,11,0,11,0
01562,015,ACQUISITION_UNBLOCKED,9,0,0,COMPLETE,7,9,7,2,0
01564,015,ACQUISITION_UNBLOCKED,13,0,0,COMPLETE,11,13,11,2,0
01566,015,ACQUISITION_UNBLOCKED,36,0,0,COMPLETE,31,36,22,14,9
01568,015,ACQUISITION_UNBLOCKED,12,0,0,COMPLETE,11,18,11,7,0
01569,015,ACQUISITION_UNBLOCKED,16,0,0,COMPLETE,15,16,15,1,0
01570,015,ACQUISITION_UNBLOCKED,9,0,0,COMPLETE,34,9,6,3,28
01571,015,ACQUISITION_UNBLOCKED,10,0,0,COMPLETE,31,11,4,7,27
01581,015,ACQUISITION_UNBLOCKED,27,0,0,COMPLETE,21,27,20,7,1
01583,015,ACQUISITION_UNBLOCKED,20,0,0,COMPLETE,10,20,10,10,0
01585,015,ACQUISITION_UNBLOCKED,18,0,0,COMPLETE,14,19,13,6,1
01586,015,ACQUISITION_UNBLOCKED,39,0,0,COMPLETE,0,39,0,39,0
01588,015,ACQUISITION_UNBLOCKED,15,0,0,COMPLETE,5,15,5,10,0
01590,015,ACQUISITION_UNBLOCKED,6,0,0,COMPLETE,10,10,10,0,0
01601,016,ACQUISITION_UNBLOCKED,69,0,0,COMPLETE,0,69,0,69,0
01602,016,ACQUISITION_UNBLOCKED,49,0,1248,COMPLETE,5,1297,5,1292,0
01603,016,ACQUISITION_UNBLOCKED,62,0,861,COMPLETE,5,923,5,918,0
01604,016,ACQUISITION_UNBLOCKED,71,0,1624,COMPLETE,23,1695,23,1672,0
01605,016,ACQUISITION_UNBLOCKED,55,0,1002,COMPLETE,21,1057,21,1036,0
01606,016,ACQUISITION_UNBLOCKED,42,0,1260,COMPLETE,7,1302,7,1295,0
01607,016,ACQUISITION_UNBLOCKED,73,0,279,COMPLETE,14,352,14,338,0
01608,016,ACQUISITION_UNBLOCKED,69,0,117,COMPLETE,10,186,10,176,0
01609,016,ACQUISITION_UNBLOCKED,49,0,683,COMPLETE,7,732,7,725,0
01610,016,ACQUISITION_UNBLOCKED,69,0,519,COMPLETE,20,588,20,568,0
01611,016,ACQUISITION_UNBLOCKED,29,0,0,COMPLETE,0,29,0,29,0
